track_id,track_name,tags,artwork_url
1870984047,pop,harry styles kiss all the time disco occasionally pop,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/07/41/6a/07416a78-38b9-2d47-7ce8-8a52a44c510f/196874010112.jpg/100x100bb.jpg
1622045962,ojitos lindos,bad bunny  bomba estreo un verano sin ti latin,https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/3e/04/eb/3e04ebf6-370f-f59d-ec84-2c2643db92f1/196626945068.jpg/100x100bb.jpg
1724488124,beautiful things,benson boone beautiful things  single pop,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/54/f4/92/54f49210-e260-b519-ebbd-f4f40ee710cd/054391342751.jpg/100x100bb.jpg
1747842759,pink skies,zach bryan pink skies  single country,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/a3/25/58/a3255839-0068-40f0-9985-7603f061c30f/054391263575.jpg/100x100bb.jpg
1536646948,too good at goodbyes,sam smith the thrill of it all special video edition pop,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/c7/ee/26/c7ee26a6-8b1e-c224-4872-bb5df0614e64/17UM1IM18858.rgb.jpg/100x100bb.jpg
1251713725,meant to be,bebe rexha  florida georgia line all your fault pt 2  ep pop,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/4a/3b/65/4a3b65ee-a5c6-51e1-8476-e6501a98efa5/093624910763.jpg/100x100bb.jpg
214475478,how you remind me,nickelback silver side up rock,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/ad/16/b7/ad16b7c9-2779-d2e5-0fca-83aeff09f4b6/mzi.exqcjkkz.jpg/100x100bb.jpg
1170699703,closer feat halsey,the chainsmokers collage  ep dance,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/41/f8/38/41f8380b-9b56-d5d4-31f7-a6411c0c9aaa/886446102054.jpg/100x100bb.jpg
1200868875,location,khalid american teen rbsoul,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/f8/45/5a/f8455a71-8307-aa9a-9c95-3d22efe0804f/886446326146.jpg/100x100bb.jpg
1468058173,lover,taylor swift lover pop,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/49/3d/ab/493dab54-f920-9043-6181-80993b8116c9/19UMGIM53909.rgb.jpg/100x100bb.jpg
1666738585,fast car,luke combs gettin old country,https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/7d/24/14/7d241439-671a-d957-9613-2f738f43a064/196589485991.jpg/100x100bb.jpg
1544494392,hello,adele 25 pop,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/08/8c/24/088c2405-2e33-801b-5c38-e967f2c01e69/191404113974.png/100x100bb.jpg
1460315065,we cant stop,miley cyrus bangerz deluxe version pop,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/e3/e0/84/e3e08400-2d03-75f9-6b8b-a3345452aa98/886444197816.jpg/100x100bb.jpg
1369109322,youngblood,5 seconds of summer youngblood deluxe pop,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/dc/98/51/dc9851bd-9521-6fcb-c4b7-499f23b05498/18UMGIM09114.rgb.jpg/100x100bb.jpg
1624932774,pop,nayeon im nayeon dance,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/3f/49/ec/3f49ecb2-cb91-dd28-45b9-a31326d7e63b/738676859614_Cover.jpg/100x100bb.jpg
900672609,take me to church,hozier hozier expanded edition alternative,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/5e/1b/f1/5e1bf1de-e5f1-e73e-0752-e7882b4f2d57/886444718820.jpg/100x100bb.jpg
1122782281,sparks,coldplay parachutes alternative,https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/f5/93/8c/f5938c49-964c-31d1-4b33-78b634f71fb7/190295978075.jpg/100x100bb.jpg
923691591,omg feat william,usher raymond v raymond expanded edition rbsoul,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/20/74/2d/20742d10-aae0-7a0c-0509-e8f611be5787/884977705362.jpg/100x100bb.jpg
1440813515,everybody wants to rule the world,tears for fears songs from the big chair pop,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/74/41/43/744143ae-afad-8380-106e-1c1bc48922e4/14UMGIM34762.rgb.jpg/100x100bb.jpg
1447334978,dancing with a stranger,sam smith  normani dancing with a stranger  single pop,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/30/75/5b/30755bfd-3225-8a60-ac85-0cf74876f84e/18UMGIM84859.rgb.jpg/100x100bb.jpg
1269286851,dile que t me quieres,ozuna odisea urbano latino,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/df/7c/1b/df7c1b32-0fca-94f0-866b-ba89e420ca04/697691884103.jpg/100x100bb.jpg
1820264150,golden,huntrx ejae audrey nuna rei ami  kpop demon hunters cast kpop demon hunters soundtrack from the netflix film kpop,https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/e1/15/42/e1154273-8ecd-5702-e6e6-597f28001681/25UMGIM82363.rgb.jpg/100x100bb.jpg
1458638381,old town road feat billy ray cyrus ,lil nas x old town road feat billy ray cyrus   single country,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/b9/07/51/b9075120-62d2-4c00-2657-58e40da17a12/886447659168.jpg/100x100bb.jpg
576655094,grenade,bruno mars doowops  hooligans pop,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/52/b1/45/52b1452b-229e-78db-231b-7b43fa0077cc/075679956491.jpg/100x100bb.jpg
1682500319,un x100to,grupo frontera  bad bunny un x100to  single msica mexicana,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/b6/74/4d/b6744dbd-77ed-413a-3777-5ac6a2e780eb/197188732554.jpg/100x100bb.jpg
1411629089,thunder,imagine dragons evolve alternative,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/11/7a/b8/117ab805-6811-8929-18b9-0fad7baf0c25/17UMGIM98210.rgb.jpg/100x100bb.jpg
268532453,u remind me,usher 8701 rbsoul,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/e7/1f/06/e71f062b-71c8-3b06-49d3-a0842a759684/078221471527.jpg/100x100bb.jpg
